,word,definition
0,a,a short variant of the vwerb
1,tua,an indefinite personal pro noun one it can often be translated by the passive abi oe he was born
2,a,a short variant of the possessive pronoun of the nd pers sgl cuε
3,aba,seeds hung up on a stick that is used in ewawa divination and when feeding witches gives knowledge of the secrets of witchcraft
4,aba,an old word for the anklet worn by the emada now called εɽↄdↄ its noise was given as dyeryεhdyεyεn
5,aba,r originally native hand cuff prisoners were fastened by means of aba to large blocks of wood nowadays a witch doctor simplement used to press a medicine against the ground while a prayer is said which ends obↄ n ↄr aba εɽu edI L a hand that ids in aba cannot do anything This constitutes a protective spell
6,ababe,witchcraft as a prac tice used for purposes of de fence or revenge or out of Jealousy or envy abab w na w egbe gbe the witchcraft of this man n very strong
7,abalbↄ,rum alcohol w any
8,abagute,triangular under cloth spec denoting women s cloth but also of general use f Yor ibantε
9,abe,state of being guilty in a lawsuit ↄde y abe he fell into guilt he has been found guilty at last seems to imply wrongfully v ɽe l
10,abε,razor cf Yor abε
11,abεkpε,a knife used to kil animals
12,abiba,edge of mud couch stota y abiba he sat on the edge of the couch cf iba apraise name of the also ebi
13,abigεgqε,abↄ I branch in ab erha branch of tree rank social position in ab ↄkpa ↄye he is equal in rank to somebody else ab ↄkpa iɽa
14,ye,they are of the same rank straightforward deal ing unaided by hidden sup port ordinary hand in abↄ
15,ka,what you are doing now is not straightforward i e you are acting under the in fluence of alcohol or with the help of charms or witchcraft or of some other hidden support oseu εe abↄka he did it unaided by money or free from any magic support abdkps woof made of wood used in weaving strikes the threads down in order to fasten them a stick held by women at a burial or second burial representing a matchet it is supposed to keep evil spirits away from the deceased s children abdkpↄ z a tree Dwspyros crassifiora used in building houses and also by the Jεkri and Ijy people for paddles abↄkpr is not made from it
16,abutete,high edge of a road v az l
17,ada,state sword worn by the dba some big chiefs and the priests of Osa and Jdxwah f Yor ada I
18,ada,family representatives at a burial
19,ada,junction crossroads
20,adabi,a deity supposed to stand on the boundary between the world and εɽivi on Ad agb ad ε ivi there the dead people rest awhile An Adabi is also made and wor shipped by the priestesses of
21,olokii,female of ↄsεl it carries many eggs looks like the male ogoɽo but has shining stripes cf ek l
22,adesz,middle ades ɽ
23,sye,it is in the middle of it ades uhudu crown of head ades n eva the middle of two be fween xɣεl adesε n ev iɽi la don t pass between them adesε n eva M two fia ε l adesε n eva
24,ad,apointed stick for picking fruit off trees
25,adε,buyer cf dε
26,adε,placenta
27,adiyε,fowl a Yoruba word more used than ↄxo xo at present cf Yor adiε l
28,adowε,a man who walks on tip toe on account of sore feet
29,adbbb,name of an dba father of Dba OvHrfave his altar is shown on L R fig
30,adblbbiε,rebirth being born again Akugbe cf dↄl bi adolbko sword sabre df Jekr
31,udↄlbka,chisel ɣεgi afia fi a B obↄ don t let the chisel cut my hand an insect affecting the yam creepers cf
32,fii,Christian blessing Akugbe c fid
33,afiala,flag
34,afizma,pulse afima fia ε
35,teitei,my heart is beating with fear cf fi
36,afiznoba,imitation coral beads original meaning is one does not cut for somebody but the reason for this name is not clear
37,afierha,headache
38,aforhs,agame in which some thing preferably something ed ible is thrown on the ground whereupon everybody tries to seize as much of it as he can
39,afs,a purification medicine and soup said to be composed of different herbs cf fo MNs v ebe
40,aga,a chair with rest ag ika cane chair cf Y or aga wood cutting
41,aga,barren woman cf Yor
42,aga,person
43,agalezi,whitlow said to be brought about by isue
44,agiε,corrosive acid an old medicine to cure leprosy a curse agi giε ɽuε mudia may acid burn you standing i e alive used by big a bandy legged young lizard idio chiefs cf giε agiexe n small change oko agi Qε gu ε nqa imami en ofi dola na me friend have you any small change there is I have nobody who can change fiaz a florin for me
45,agobↄ,left hand left side mostly used with the latter meaning
46,agukisiviogie,the star claiming rule from with the moon a very bright star pro bably the morning or evening star cf gu uvki siῦi ogie
47,agwe,a fast kept at the guae and by some big chiecfs outside it the participants must not eat new yam for seven days on the seventh day nobody Is allowed to see the dba and gun firing as well as drumming is forbidden After the seventh day the new yam feast is held Before the fast begins each of the participants apparently men only has to obtain a badge in cross form uma mn agwε from the priest of Osa this Is worn round the neck but big chiefs tie it to the edge of their waist cloth by means of small strings of fine coral beads At the actual feast the new yam must not be touched nor must the pots and plates used at the teast be used for other purposes The fast is said to have been Instituted by the oba Esigie Three months later there iIs another fast called agws dwen of aws
48,agba,a tree Gossweileroden dron balsamiferwm used in building doors
49,agba,a long wooden tray with cane sides for carrying loads used by men only agba I plain space at village entrance ug e behind the outer gate on it stands the egb tence it is also called agba uwe and possibly in other cases agbagba C agba gbaa agha stool used by the D ba and chiefs a small square carved seat like a table with four legs without a backrest mu agha gi ogie n ↄya tota I bring a stool for the ruler to sit on cf agha r
50,agbada,a kind of knife with two edged blade
51,agbadi,bridge
52,agbae,layer in building a well each one of a man s height
53,agbaguda,I women s cheek marks a Lknife wused for cleaning cooked yam etc
54,agbawe,a title wsed in ad dressing the dba
55,agbaka,crocodile agbaka amu edi ε if a crocodile catches something it does not give it up
56,agbakpa,bald man a nick name aghakpa n iloɽo a bald man who has a shining head
57,aghae,chin lower jaw agba ɽ ye gj oↄgↄ or gↄYLS D L l his chin is pointed cf Yor aghↄ l
58,aghe,water bottle of Euro pean make as worn by soldiers
59,agbeginotↄ,vulva idic matic indecent cf gbe gin
60,oto,elderly people with plural meaning people from ca years Egh Hist Egh says ↄ or e gbakimez the e stressing the plurality exaɽhε n ↄgbekamez hia v va v eldely chiefs were therein full strength Here the word is used as a verb gb ekamezi Probably of Yoruba origin cf Yor mueji
61,agberhie,shooting contest like εte in agberhie an arrow is lost to the opponent every time one misses the mark
62,agbeva,double df gba l
63,eva,m ripples on house walls only chiefs are allowed to have them a pattern a kind of chisel for carving patterns in coco nuts or planks it has a narrower blade than aɣa
64,agbεtε,a man suffering from a sore cf gbe l
65,agbo,a Yoruba herb tea used as purgative medicine cf Yor
66,agbo,ram agbo n iyoy bearded ram apraise name for the ram cf Yor
67,agbo,razor a little bigger than abε cf Yor agbori minm
68,aghↄ,in agb εvo district an old word ilu agb oo we gbaɽo e I how many districts are you looking after world esp in contrast to εmivi agh na not in this world for something that cer tainly will not happen
69,agbuxoxo,hornet a curse agbuxoxo oↄɽagb uε may a hornet sting you a a a native chisel fixed on a hooked stick used by wood carvers axa n okpe a tree Mumusops djave cf okpe
70,axako,a tree Xylopia villosa its hard wood is used for cross planks in ceiling ajɣako εzε Isolona campanulalr not known to be a separate kind by the informant
71,aqwehi,a title used in ad dressing the dba axik ↄdi elders extra share of a payment made to the village or of a killed animal axd d shadow
72,aha,a worm possibly a leech ahaBanakpal conception by foetus i e without cause in flammation of breasts c hava akpa ah sieve cf Yor ase
73,ahε,a disease either convul sions or dysentery or else gonorrhoea or other affections of the penis used with the verb ɽu l
74,ahe,chrysops ily
75,ahεkpi,another name for
76,ataikpi,scraper cf hia
77,ahiaε,bird ahiaῦε n ukioya or nuticya D ared bird the cry of which is said to be prophetic if it cries oya o oya o danger or disaster is ahead if oliguεguε oliguεguε one s errand will be lucky If it cries persistently oya o in front of a man he will return rather than continue his way t is believed to be a messenger of the god Oxwaha to his worshippers ahia o small brass figure of the above carried by chiefs when dancing at ugi ↄ v ugie and continuously beaten on the beak this is done in commemoration of an oc currence during the reign of the dba Esigie when he went to war with his brother Aruaɽa the ahiatε n ukioya cried oya o on the road but the dba killed the bird and did not give heed to its cry After his victorious return he instituted the custom of the ahiaῦ ↄ ahiaῦ osa bird of Osa the African Pied Wagtail and perhaps the Blue headed Wag tail Appears during the dry season only
78,ahiewoe,a fly its larva is called ewↄe d hiↄ
79,ahiↄ,urine ahio Te ba b ↄDa n eviraɽo u his urine is dark like that of a man who has blackwater fever cf
80,hiↄ,a hoe for collecting mud broader than εgwe cf Engl hoe
81,ahobεkii,want of some thing cf ho ahoεῦ ↄBa love kindness Akugbe cf ho ε ε l
82,ↄva,hawk
83,ahuwvε,general pains in bones and joints e due to yaws cf uve
84,aibanuafo,fully undressed Perhaps fo
85,aikivi,one cannot strike a group of charms protecting agalnst assaults worn mainly when travelling or when a fight is ahead cf kivi one is not undervest
86,aiceba,one does not eat in addition to it any acute poison
87,aka,painin the side probably due to pneumonia or pleurisy
88,aka,grass snake said to have a crest on both sides of the head they are rather long and spit their bite is said to be not very harmful there are the follow ing varieties aka n ebebe
89,ebe,green grass snake aka n ebiebi dark grass snake aka n evigvi ε vi YD yellow grass snake aka n ugbems gbe
90,l,monkey kiler aka along tree snake that kills monkeys by sue zing them said not to be harmful to man I diom y ↄ v aka to dress like a grass snake to be fully armed wv εnyε
91,aka,rack for drying meat with a fire underneath cf Yor
92,aka,x a bell used in the cult of the god dxwabhe tied round the waist during festival also worn by hunting dogs round the neck a dance
93,akahe,forked spear nowa days a fishing spear pointed rod L R fig attendant on the right c Yor akasi
94,akai,strictures of urethra or possibly also symptoms of dysentery impossibility to uri nate and defaecate also de scribed as a more serious stage of odo
95,akala,grey heron cf Yor
96,akala,a tree Rauwolfia vomiloria provides firewood
97,akadudu,atiny thing the odd one ovi akaῦudu one over one surpassing a guessed number term of abuse for small people uye v ovi akahudu lh nnl you are like the odd one v isε
98,ake,a growth on the thigh bone ake obↄ a ganglion on the hand same as era
99,akegbe,a man who pretends by dress or behaviour to be of a different age or rank
100,akegbe,a bad style of the hair dressing osusu
101,akerekere,a kind of water snail at times it retires entirely into its shell closing the entrance with a cover called ekokohiε o l
102,akεd,a deity the god of archery
103,akεgbuda,name of an Oba
104,akgrha,
